//Format: Name, Category ID, /Relative/File/Path/Category.txt, Show ID boolean
Demon Souls Armor, 0x10000000, Resources/Equipment/Armor/DemonSoulsArmor.txt, false
Dark Souls Armor, 0x10000000, Resources/Equipment/Armor/DarkSoulsArmor.txt, false
//Dark Souls 2 Armor, 0x10000000, Resources/Equipment/Armor/DarkSouls2Armor.txt, false
Consumables, 0x40000000, Resources/Equipment/Items/Consumables.txt, false
KeyItems, 0x40000000, Resources/Equipment/Items/KeyItems.txt, false
MeleeWeapons, 0x00000000, Resources/Equipment/Weapons/MeleeWeapons.txt, false
RangedWeapons, 0x00000000, Resources/Equipment/Weapons/RangedWeapons.txt, false
Ammo, 0x00000000, Resources/Equipment/Weapons/Ammo.txt, false
Rings, 0x20000000, Resources/Equipment/Rings/Rings.txt, false
Shields, 0x00000000, Resources/Equipment/Weapons/Shields.txt, false
Spells, 0x40000000, Resources/Equipment/Items/Spells.txt, false
SpellTools, 0x00000000, Resources/Equipment/Weapons/SpellTools.txt, false
UpgradeMaterials, 0x40000000, Resources/Equipment/Items/UpgradeMaterials.txt, false
UsableItems, 0x40000000, Resources/Equipment/Items/UsableItems.txt, false
MysteryWeapons, 0x00000000, Resources/Equipment/Weapons/MysteryWeapons.txt, true
MysteryArmor, 0x10000000, Resources/Equipment/Armor/MysteryArmor.txt, true
MysteryGoods, 0x40000000, Resources/Equipment/Items/MysteryGoods.txt, true
